sch_name,fund_name,URL
Baroda BNP Paribas Large Cap Fund - Growth,Baroda BNP Paribas Large Cap Fund,https://www.rrfinance.com/MFunds/MFSchemeDetails.aspx?SchCode=AB001
Baroda BNP Paribas Large Cap Fund - IDCW,Baroda BNP Paribas Large Cap Fund,https://www.rrfinance.com/MFunds/MFSchemeDetails.aspx?SchCode=AB002
Baroda BNP Paribas Conservative Hybrid Fund - Monthly IDCW,Baroda BNP Paribas Conservative Hybrid Fund,https://www.rrfinance.com/MFunds/MFSchemeDetails.aspx?SchCode=AB003
Baroda BNP Paribas Conservative Hybrid Fund - Quarterly IDCW,Baroda BNP Paribas Conservative Hybrid Fund,https://www.rrfinance.com/MFunds/MFSchemeDetails.aspx?SchCode=AB004
Baroda BNP Paribas Conservative Hybrid Fund - Growth,Baroda BNP Paribas Conservative Hybrid Fund,https://www.rrfinance.com/MFunds/MFSchemeDetails.aspx?SchCode=AB005
Baroda BNP Paribas Dynamic Bond - Growth,Baroda BNP Paribas Dynamic Bond,https://www.rrfinance.com/MFunds/MFSchemeDetails.aspx?SchCode=AB006
Baroda BNP Paribas Dynamic Bond - Quarterly IDCW,Baroda BNP Paribas Dynamic Bond,https://www.rrfinance.com/MFunds/MFSchemeDetails.aspx?SchCode=AB007
Baroda BNP Paribas Dynamic Bond - Half Yearly IDCW,Baroda BNP Paribas Dynamic Bond,https://www.rrfinance.com/MFunds/MFSchemeDetails.aspx?SchCode=AB008
Baroda BNP Paribas ELSS Fund - Growth,Baroda BNP Paribas ELSS Fund,https://www.rrfinance.com/MFunds/MFSchemeDetails.aspx?SchCode=AB041
Baroda BNP Paribas ELSS Fund - IDCW,Baroda BNP Paribas ELSS Fund,https://www.rrfinance.com/MFunds/MFSchemeDetails.aspx?SchCode=AB042
Baroda BNP Paribas Dynamic Bond - Daily IDCW,Baroda BNP Paribas Dynamic Bond,https://www.rrfinance.com/MFunds/MFSchemeDetails.aspx?SchCode=AB043
Baroda BNP Paribas Dynamic Bond - Weekly IDCW,Baroda BNP Paribas Dynamic Bond,https://www.rrfinance.com/MFunds/MFSchemeDetails.aspx?SchCode=AB044
Baroda BNP Paribas Midcap Fund - Growth,Baroda BNP Paribas Midcap Fund,https://www.rrfinance.com/MFunds/MFSchemeDetails.aspx?SchCode=AB052
Baroda BNP Paribas Midcap Fund - IDCW,Baroda BNP Paribas Midcap Fund,https://www.rrfinance.com/MFunds/MFSchemeDetails.aspx?SchCode=AB053
Baroda BNP Paribas Dynamic Bond - Monthly IDCW,Baroda BNP Paribas Dynamic Bond,https://www.rrfinance.com/MFunds/MFSchemeDetails.aspx?SchCode=AB585
Aditya Birla Sun Life Equity Hybrid 95 Fund - IDCW,Aditya Birla Sun Life Equity Hybrid 95 Fund,https://www.rrfinance.com/MFunds/MFSchemeDetails.aspx?SchCode=AC001
Aditya Birla Sun Life Flexi Cap Fund - Growth,Aditya Birla Sun Life Flexi Cap Fund,https://www.rrfinance.com/MFunds/MFSchemeDetails.aspx?SchCode=AC002
Aditya Birla Sun Life Corporate Bond Fund - IDCW,Aditya Birla Sun Life Corporate Bond Fund,https://www.rrfinance.com/MFunds/MFSchemeDetails.aspx?SchCode=AC003
Aditya Birla Sun Life Corporate Bond Fund - Growth,Aditya Birla Sun Life Corporate Bond Fund,https://www.rrfinance.com/MFunds/MFSchemeDetails.aspx?SchCode=AC004
Aditya Birla Sun Life Low Duration Fund - Growth,Aditya Birla Sun Life Low Duration Fund,https://www.rrfinance.com/MFunds/MFSchemeDetails.aspx?SchCode=AC005
Aditya Birla Sun Life Equity Hybrid 95 Fund - Growth,Aditya Birla Sun Life Equity Hybrid 95 Fund,https://www.rrfinance.com/MFunds/MFSchemeDetails.aspx?SchCode=AC006
Aditya Birla Sun Life ELSS Tax Saver Fund - IDCW,Aditya Birla Sun Life ELSS Tax Saver Fund,https://www.rrfinance.com/MFunds/MFSchemeDetails.aspx?SchCode=AC007
Aditya Birla Sun Life Flexi Cap Fund - IDCW,Aditya Birla Sun Life Flexi Cap Fund,https://www.rrfinance.com/MFunds/MFSchemeDetails.aspx?SchCode=AC008
Aditya Birla Sun Life Digital India Fund - IDCW,Aditya Birla Sun Life Digital India Fund,https://www.rrfinance.com/MFunds/MFSchemeDetails.aspx?SchCode=AC018
Aditya Birla Sun Life Digital India Fund - Growth,Aditya Birla Sun Life Digital India Fund,https://www.rrfinance.com/MFunds/MFSchemeDetails.aspx?SchCode=AC020
Aditya Birla Sun Life Large Cap Fund - Growth,Aditya Birla Sun Life Large Cap Fund,https://www.rrfinance.com/MFunds/MFSchemeDetails.aspx?SchCode=AC061
Aditya Birla Sun Life Large Cap Fund - IDCW,Aditya Birla Sun Life Large Cap Fund,https://www.rrfinance.com/MFunds/MFSchemeDetails.aspx?SchCode=AC062
Aditya Birla Sun Life Low Duration Fund - Weekly IDCW,Aditya Birla Sun Life Low Duration Fund,https://www.rrfinance.com/MFunds/MFSchemeDetails.aspx?SchCode=AC066
Parag Parikh Flexicap Fund - Growth,Parag Parikh Flexicap Fund,https://www.rrfinance.com/MFunds/MFSchemeDetails.aspx?SchCode=AG088
Parag Parikh Liquid Fund - Daily IDCW,Parag Parikh Liquid Fund - Daily IDCW,https://www.rrfinance.com/MFunds/MFSchemeDetails.aspx?SchCode=AG089
Parag Parikh Liquid Fund - Growth,Parag Parikh Liquid Fund - Growth,https://www.rrfinance.com/MFunds/MFSchemeDetails.aspx?SchCode=AG090
Parag Parikh Liquid Fund - Monthly IDCW,Parag Parikh Liquid Fund - Monthly IDCW,https://www.rrfinance.com/MFunds/MFSchemeDetails.aspx?SchCode=AG091
Parag Parikh Liquid Fund - Weekly IDCW,Parag Parikh Liquid Fund - Weekly IDCW,https://www.rrfinance.com/MFunds/MFSchemeDetails.aspx?SchCode=AG092
Parag Parikh ELSS Tax Saver Fund - Growth,Parag Parikh ELSS Tax Saver Fund,https://www.rrfinance.com/MFunds/MFSchemeDetails.aspx?SchCode=AG093
Parag Parikh Conservative Hybrid Fund - Growth,Parag Parikh Conservative Hybrid Fund,https://www.rrfinance.com/MFunds/MFSchemeDetails.aspx?SchCode=AG094
Parag Parikh Conservative Hybrid Fund - Monthly IDCW,Parag Parikh Conservative Hybrid Fund,https://www.rrfinance.com/MFunds/MFSchemeDetails.aspx?SchCode=AG095
Parag Parikh Dynamic Asset Allocation Fund - Growth,Parag Parikh Dynamic Asset Allocation Fund,https://www.rrfinance.com/MFunds/MFSchemeDetails.aspx?SchCode=AG096
Parag Parikh Dynamic Asset Allocation Fund - Monthly IDCW Payout,Parag Parikh Dynamic Asset Allocation Fund,https://www.rrfinance.com/MFunds/MFSchemeDetails.aspx?SchCode=AG097
Parag Parikh Dynamic Asset Allocation Fund - Monthly IDCW,Parag Parikh Dynamic Asset Allocation Fund,https://www.rrfinance.com/MFunds/MFSchemeDetails.aspx?SchCode=AG098
Aditya Birla Sun Life MNC Fund - IDCW,Aditya Birla Sun Life MNC Fund,https://www.rrfinance.com/MFunds/MFSchemeDetails.aspx?SchCode=AP001
Aditya Birla Sun Life MNC Fund - Growth,Aditya Birla Sun Life MNC Fund,https://www.rrfinance.com/MFunds/MFSchemeDetails.aspx?SchCode=AP003
Axis Liquid Fund - Daily IDCW,Axis Liquid Fund,https://www.rrfinance.com/MFunds/MFSchemeDetails.aspx?SchCode=AX001
Axis Liquid Fund - Monthly IDCW,Axis Liquid Fund,https://www.rrfinance.com/MFunds/MFSchemeDetails.aspx?SchCode=AX002
Axis Liquid Fund - Growth,Axis Liquid Fund,https://www.rrfinance.com/MFunds/MFSchemeDetails.aspx?SchCode=AX004
Axis Treasury Advantage Fund - Daily IDCW,Axis Treasury Advantage Fund,https://www.rrfinance.com/MFunds/MFSchemeDetails.aspx?SchCode=AX005
Axis Treasury Advantage Fund - Monthly IDCW,Axis Treasury Advantage Fund,https://www.rrfinance.com/MFunds/MFSchemeDetails.aspx?SchCode=AX006
Axis Treasury Advantage Fund - Weekly IDCW,Axis Treasury Advantage Fund,https://www.rrfinance.com/MFunds/MFSchemeDetails.aspx?SchCode=AX007
Axis Treasury Advantage Fund - Growth,Axis Treasury Advantage Fund,https://www.rrfinance.com/MFunds/MFSchemeDetails.aspx?SchCode=AX008
Axis Large Cap Fund - IDCW,Axis Large Cap Fund,https://www.rrfinance.com/MFunds/MFSchemeDetails.aspx?SchCode=AX009
Axis Large Cap Fund - Growth,Axis Large Cap Fund,https://www.rrfinance.com/MFunds/MFSchemeDetails.aspx?SchCode=AX010
Axis ELSS Tax Saver Fund - Growth,Axis ELSS Tax Saver Fund,https://www.rrfinance.com/MFunds/MFSchemeDetails.aspx?SchCode=AX011
Axis ELSS Tax Saver Fund - IDCW,Axis ELSS Tax Saver Fund,https://www.rrfinance.com/MFunds/MFSchemeDetails.aspx?SchCode=AX012
Axis Conservative Hybrid Fund - Growth,Axis Conservative Hybrid Fund,https://www.rrfinance.com/MFunds/MFSchemeDetails.aspx?SchCode=AX027
Axis Conservative Hybrid Fund - Qtr. IDCW,Axis Conservative Hybrid Fund,https://www.rrfinance.com/MFunds/MFSchemeDetails.aspx?SchCode=AX028
Axis Conservative Hybrid Fund - Annual IDCW,Axis Conservative Hybrid Fund,https://www.rrfinance.com/MFunds/MFSchemeDetails.aspx?SchCode=AX030
Axis Conservative Hybrid Fund - Half Yearly IDCW,Axis Conservative Hybrid Fund,https://www.rrfinance.com/MFunds/MFSchemeDetails.aspx?SchCode=AX031
Axis Multi Asset Allocation Fund - Growth,Axis Multi Asset Allocation Fund,https://www.rrfinance.com/MFunds/MFSchemeDetails.aspx?SchCode=AX040
Axis Multi Asset Allocation Fund - IDCW,Axis Multi Asset Allocation Fund,https://www.rrfinance.com/MFunds/MFSchemeDetails.aspx?SchCode=AX041
Axis Short Duration Fund - Monthly IDCW,Axis Short Duration Fund,https://www.rrfinance.com/MFunds/MFSchemeDetails.aspx?SchCode=AX043
Axis Short Duration Fund - Weekly IDCW,Axis Short Duration Fund,https://www.rrfinance.com/MFunds/MFSchemeDetails.aspx?SchCode=AX044
Axis Short Duration Fund - Growth,Axis Short Duration Fund,https://www.rrfinance.com/MFunds/MFSchemeDetails.aspx?SchCode=AX045
Axis Midcap Fund - Growth,Axis Midcap Fund,https://www.rrfinance.com/MFunds/MFSchemeDetails.aspx?SchCode=AX049
Axis Midcap Fund - IDCW,Axis Midcap Fund,https://www.rrfinance.com/MFunds/MFSchemeDetails.aspx?SchCode=AX050
Axis Dynamic Bond Fund - Growth,Axis Dynamic Bond Fund,https://www.rrfinance.com/MFunds/MFSchemeDetails.aspx?SchCode=AX057
Axis Dynamic Bond Fund - Qtr. IDCW,Axis Dynamic Bond Fund,https://www.rrfinance.com/MFunds/MFSchemeDetails.aspx?SchCode=AX058
Axis Dynamic Bond Fund - Half Yearly IDCW,Axis Dynamic Bond Fund,https://www.rrfinance.com/MFunds/MFSchemeDetails.aspx?SchCode=AX059
Axis Gold Fund - Growth,Axis Gold Fund,https://www.rrfinance.com/MFunds/MFSchemeDetails.aspx?SchCode=AX080
Axis Gold Fund - IDCW,Axis Gold Fund,https://www.rrfinance.com/MFunds/MFSchemeDetails.aspx?SchCode=AX081
Axis Gilt Fund - Growth,Axis Gilt Fund,https://www.rrfinance.com/MFunds/MFSchemeDetails.aspx?SchCode=AX091
Axis Gilt Fund - Half Yearly IDCW,Axis Gilt Fund,https://www.rrfinance.com/MFunds/MFSchemeDetails.aspx?SchCode=AX092
Axis Gilt Fund - IDCW,Axis Gilt Fund,https://www.rrfinance.com/MFunds/MFSchemeDetails.aspx?SchCode=AX093
Axis Strategic Bond Fund - Growth,Axis Strategic Bond Fund,https://www.rrfinance.com/MFunds/MFSchemeDetails.aspx?SchCode=AX112
Axis Strategic Bond Fund - Qtr. IDCW,Axis Strategic Bond Fund,https://www.rrfinance.com/MFunds/MFSchemeDetails.aspx?SchCode=AX114
Axis Strategic Bond Fund - Half Yearly IDCW,Axis Strategic Bond Fund,https://www.rrfinance.com/MFunds/MFSchemeDetails.aspx?SchCode=AX115
Axis Banking and PSU Debt Fund - Growth,Axis Banking and PSU Debt Fund,https://www.rrfinance.com/MFunds/MFSchemeDetails.aspx?SchCode=AX118
Axis Banking and PSU Debt Fund - Daily IDCW,Axis Banking and PSU Debt Fund,https://www.rrfinance.com/MFunds/MFSchemeDetails.aspx?SchCode=AX119
Axis Banking and PSU Debt Fund - Weekly IDCW,Axis Banking and PSU Debt Fund,https://www.rrfinance.com/MFunds/MFSchemeDetails.aspx?SchCode=AX120
Axis Banking and PSU Debt Fund - Monthly IDCW,Axis Banking and PSU Debt Fund,https://www.rrfinance.com/MFunds/MFSchemeDetails.aspx?SchCode=AX121
Axis Focused Fund - Growth,Axis Focused Fund,https://www.rrfinance.com/MFunds/MFSchemeDetails.aspx?SchCode=AX122
Axis Focused Fund - IDCW,Axis Focused Fund,https://www.rrfinance.com/MFunds/MFSchemeDetails.aspx?SchCode=AX123
Axis Small Cap Fund - Growth,Axis Small Cap Fund,https://www.rrfinance.com/MFunds/MFSchemeDetails.aspx?SchCode=AX152
Axis Small Cap Fund - IDCW,Axis Small Cap Fund,https://www.rrfinance.com/MFunds/MFSchemeDetails.aspx?SchCode=AX153
Axis Credit Risk Fund - Growth,Axis Credit Risk Fund,https://www.rrfinance.com/MFunds/MFSchemeDetails.aspx?SchCode=AX212
Axis Credit Risk Fund - Monthly IDCW,Axis Credit Risk Fund,https://www.rrfinance.com/MFunds/MFSchemeDetails.aspx?SchCode=AX213
Axis Arbitrage Fund - Growth,Axis Arbitrage Fund,https://www.rrfinance.com/MFunds/MFSchemeDetails.aspx?SchCode=AX236
Axis Arbitrage Fund - IDCW,Axis Arbitrage Fund,https://www.rrfinance.com/MFunds/MFSchemeDetails.aspx?SchCode=AX237
Axis Credit Risk Fund - Weekly IDCW,Axis Credit Risk Fund,https://www.rrfinance.com/MFunds/MFSchemeDetails.aspx?SchCode=AX238
Axis Fixed Term Plan - Series 69 (3 Years) - Half Yearly IDCW,Axis Fixed Term Plan - Series 69 (3 Years),https://www.rrfinance.com/MFunds/MFSchemeDetails.aspx?SchCode=AX240
Axis Hybrid Fund - Series 14 (1274 days) - Growth,Axis Hybrid Fund - Series 14 (1274 days),https://www.rrfinance.com/MFunds/MFSchemeDetails.aspx?SchCode=AX241
Axis Hybrid Fund - Series 14 (1274 days) - IDCW,Axis Hybrid Fund - Series 14 (1274 days),https://www.rrfinance.com/MFunds/MFSchemeDetails.aspx?SchCode=AX242
Axis Hybrid Fund - Series 15 (1275 days) - IDCW,Axis Hybrid Fund - Series 15 (1275 days),https://www.rrfinance.com/MFunds/MFSchemeDetails.aspx?SchCode=AX244
Axis Short Duration Fund - IDCW,Axis Short Duration Fund,https://www.rrfinance.com/MFunds/MFSchemeDetails.aspx?SchCode=AX261
Axis Flexi Cap Fund - IDCW,Axis Flexi Cap Fund,https://www.rrfinance.com/MFunds/MFSchemeDetails.aspx?SchCode=AX307
Axis Flexi Cap Fund - Growth,Axis Flexi Cap Fund,https://www.rrfinance.com/MFunds/MFSchemeDetails.aspx?SchCode=AX308
Axis Aggressive Hybrid Fund - IDCW,Axis Aggressive Hybrid Fund,https://www.rrfinance.com/MFunds/MFSchemeDetails.aspx?SchCode=AX317
Axis Aggressive Hybrid Fund - Growth,Axis Aggressive Hybrid Fund,https://www.rrfinance.com/MFunds/MFSchemeDetails.aspx?SchCode=AX318
Axis Aggressive Hybrid Fund - Monthly IDCW,Axis Aggressive Hybrid Fund,https://www.rrfinance.com/MFunds/MFSchemeDetails.aspx?SchCode=AX319
Axis Aggressive Hybrid Fund - Qtr. IDCW,Axis Aggressive Hybrid Fund,https://www.rrfinance.com/MFunds/MFSchemeDetails.aspx?SchCode=AX320
Axis Ultra Short Duration Fund - IDCW,Axis Ultra Short Duration Fund,https://www.rrfinance.com/MFunds/MFSchemeDetails.aspx?SchCode=AX321
Axis Ultra Short Duration Fund - Daily IDCW,Axis Ultra Short Duration Fund,https://www.rrfinance.com/MFunds/MFSchemeDetails.aspx?SchCode=AX322
Axis Ultra Short Duration Fund - Growth,Axis Ultra Short Duration Fund,https://www.rrfinance.com/MFunds/MFSchemeDetails.aspx?SchCode=AX323
